Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
North Beach,2006,1411,123,71,9,18,20,441,0,13,61,192,29,41,87,47,15,748,276,14,373,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2006,6866,560,193,19,368,125,1854,0,75,170,1027,188,217,308,398,35,3070,1467,105,2224,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2006,1746,169,94,12,29,50,257,0,51,204,175,50,84,173,33,21,807,472,68,399,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2006,7276,813,175,15,1530,83,912,0,47,118,697,225,207,192,648,65,2322,2459,77,2418,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2007,59523,5441,2422,249,4759,1011,11395,0,1017,2876,5669,1750,2148,3374,3067,583,24835,16000,1469,17219,0,,,,
Bayview Hunters Point,2007,4003,480,186,3,285,36,340,0,107,205,207,161,202,283,249,84,1482,1086,177,1258,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2007,1413,133,57,7,67,38,329,0,19,86,184,41,67,96,67,13,664,340,26,383,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2007,3416,237,238,7,39,98,1394,0,20,110,359,86,90,133,92,12,2097,597,36,686,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2007,607,25,2,4,119,5,109,0,4,25,53,10,7,18,58,7,176,177,6,248,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2007,1101,69,40,15,136,9,161,0,30,63,78,23,31,60,72,14,367,328,36,370,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2007,630,50,52,3,9,10,147,0,12,67,69,7,30,45,14,2,328,138,17,147,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2007,7195,669,198,79,680,79,893,0,104,320,647,229,210,325,487,73,2422,2275,153,2345,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2007,1343,124,47,13,15,33,463,0,9,60,163,26,36,87,43,13,737,271,11,324,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2007,7152,582,188,20,542,158,1733,0,102,152,932,198,236,323,454,52,2959,1725,132,2336,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2007,1671,174,70,12,29,32,268,0,37,161,175,42,81,174,32,18,747,475,52,397,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2007,8679,876,112,21,2123,120,1027,0,57,87,743,235,231,193,767,71,2441,3297,88,2853,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2008,61171,5554,2511,349,5018,1145,11499,0,1090,2690,5443,1868,2093,3259,2512,576,25192,16274,1468,18237,0,,,,
Bayview Hunters Point,2008,4046,487,201,4,207,46,329,0,140,222,221,161,188,279,148,73,1552,963,208,1323,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2008,1479,137,81,4,52,44,356,0,31,98,174,51,55,87,39,7,742,330,34,373,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2008,3671,272,233,6,51,115,1526,0,22,87,348,101,103,137,86,12,2252,604,32,783,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2008,573,32,2,1,83,3,170,0,10,18,47,14,7,20,27,7,238,140,13,182,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2008,1034,74,56,8,103,21,160,0,27,59,95,28,32,48,56,6,387,271,30,346,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2008,784,47,47,3,23,19,173,0,29,72,65,20,34,58,26,6,376,179,33,196,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2008,7831,759,192,93,712,77,973,0,114,304,676,248,233,342,419,82,2602,2303,159,2767,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2008,1327,136,39,11,10,26,428,0,17,45,160,31,43,84,36,6,697,252,23,355,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2008,6848,533,153,16,624,188,1590,0,77,143,823,181,195,234,415,43,2684,1730,106,2328,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2008,1794,176,61,4,52,40,284,0,46,148,180,35,108,178,33,18,738,528,58,470,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
