Year,Neighborhood,Total Population,% Female,% Male,Total Num of Households,% Family Households,% Households with Children,% Non-Family Households,% Single Person Households,Avg Household Size,Avg Family Household Size,% Black/African American,% Asian,% White,% Native American Indian,% Native Hawaiian/Pacific Islander,% Other/Two or More Races,% Latino (of Any Race),% 0-4 years,% 5-17 years,% 18-34 years,% 35-59 years,% 60 and older,Median Age (years),% High School or Less,% Some College/Associate Degree,% College Degree,% Graduate/Professional Degree,% Foreign Born,% English Only Spoken at Home,% Spanish Only Spoken at Home,% Asian/Pacific Islander Language Spoken at Home,% Other European Language Spoken at Home,% Other Languages Spoken at Home,Total Num of Housing Units,Num of Units Built During 2010,Median Year Structure Built,% Occupied Units,% Vacant Units,% Owner Occupied Units,% Renter Occupied Units,Median Year Moved In to Unit (Own),Median Year Moved In to Unit (Rent),% in Same House Last Year,% Single Family Housing,% 2-4 Units,% 5-9 Units,% 10-19 Units,% 20 Units or more,Median Rent ($),Median Home Value ($),Median Rent as % of Household Income,Vehicles Available,% Homeowners who Own Cars,% Renters who Own Cars,Num of Households With No Vehicle,% Homeowning Households With No Vehicle,% Renting Households With No Vehicle,Median Household Income ($),Median Family Income ($),Per Capita Income ($),% in Poverty,Unemployment Rate (%),Num of Employed Residents,% Managerial and Professional Occupations,% Service Occupations,% Sales and Office Occupations,% Construction and Maintenance Occupations,% Production and Transportation Occupations,Num of Workers 16 years and over,% Workers who Drove a Car to Work,% Workers Who Drove Alone,% Workers Who Carpooled,% Workers Who Used Transit,% Workers Who Rode a Bike to Work,% Workers Who Walked to Work,% Workers Who Used Other Transportation,% Workers Who Worked at Home,Population Density per Acre
2012,All,825863,49,51,,,,,,,,7,36,53,0.3,0.7,11,15,4,10,29,36,20,,,,,,,,,,,,376899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,All,837442,49,51,,,,,,,,7,36,52,0.4,0.8,12,15,4,9,30,36,20,,,,,,,,,,,,381001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,All,829070,49,51,348830,46,19,54,38,2.3,3.3,6,34,49,0.4,0.4,10,15,5,9,30,36,20,35,26,21,32,21,36,55,11,26,6,1,380520,,1949,92,8,37,63,1993,2002,85,32,22,10,10,26,1363,765688,26,376190,54,46,104649,10,42,78710,94280,49990,13,8,466640,52,17,21,4,5,456670,44,36,8,33,4,10,2,7,
2014,Bayview Hunters Point,37540,50,50,10960,73,40,27,21,3.4,4.2,31,34,17,1,2,15,22,8,17,25,33,17,34.6,50,28,17,6,38,46,18,33,1,1,11920,,1957,92,8,49,51,1992,2001,90,62,14,8,4,11,1820,476820,29,16180,64,36,2192,8,32,51450,53750,22390,22,14,16410,27,27,23,8,15,15930,65,53,12,27,1,2,2,3,
2014,Castro/Upper Market,20260,36,64,11070,24,9,76,47,1.8,2.7,3,9,70,1,0.4,7,10,6,12,27,40,16,37.8,25,22,31,21,29,60,26,9,4,1,9800,,1934,93,7,55,45,1993,2002,88,59,28,7,2,3,2000,788530,26,12500,66,34,1771,5,30,92550,101160,48500,9,10,14830,54,16,19,5,7,14340,50,43,7,32,7,3,2,6,
2014,Financial District/South Beach,16540,46,54,9320,35,10,65,50,1.7,2.5,3,32,59,1,0.1,6,12,5,4,35,39,17,37.8,12,15,41,32,41,58,8,20,12,1,11900,,1994,78,22,35,65,2001,2010,72,3,1,1,1,94,1480,778030,26,7460,51,49,3169,5,49,119120,168000,98820,9,5,10430,69,10,16,2,3,10270,28,25,3,21,1,43,2,4,
2014,Golden Gate Park,50,40,60,40,0,0,100,88,1.1,,0,0,89,0,0,11,0,0,0,49,51,0,40,0,9,80,11,11,100,0,0,0,0,40,,1949,100,0,0,100,,2010,80,0,46,0,54,0,,,19,40,0,100,0,,0,119440,,109600,0,0,50,82,0,9,9,0,50,40,40,0,29,0,31,0,0,
2014,Haight Ashbury,17920,45,55,8330,30,12,70,39,2.1,2.9,3,8,81,0.3,0.1,7,8,4,5,42,37,12,34.7,7,14,48,31,14,83,4,4,8,1,9050,,1908,92,8,28,72,1996,2003,82,14,42,25,12,8,2010,1064020,24,8370,41,59,2582,10,39,114150,157380,70970,10,5,13240,72,8,15,3,3,13120,32,28,5,39,7,9,3,10,
2014,Inner Sunset,28020,51,49,11990,47,18,53,34,2.3,3,1,31,59,0.3,0.2,8,8,5,8,34,34,19,37,13,17,40,30,27,65,5,20,10,1,12680,,1944,95,5,41,59,1991,2003,85,41,30,12,9,8,1830,910010,26,14970,53,47,2158,10,23,96210,122480,55260,10,5,16370,68,10,18,2,2,15980,44,37,7,34,4,8,2,8,
2014,Mission,56480,45,55,23120,39,18,61,38,2.4,3.5,3,13,62,1,0.2,21,39,4,8,35,40,14,36.4,30,20,33,17,35,54,33,8,4,0,24970,,1907,93,7,24,76,1998,2001,86,14,34,19,11,21,940,743500,26,19630,37,63,8786,12,47,73030,65980,47150,16,8,35100,51,22,15,5,7,34380,29,25,4,41,9,11,3,7,
2014,North Beach,12760,46,54,6590,34,12,66,50,1.9,2.9,1,40,50,0.1,0,9,9,3,6,35,32,25,39.8,24,20,31,25,43,51,5,35,9,0,7210,,1943,91,9,19,81,1994,2002,81,5,32,21,9,33,1610,904390,26,4640,28,72,2834,16,49,69990,74380,53310,17,8,7570,52,22,19,3,4,7440,33,28,5,24,2,31,2,9,
2014,South of Market,17830,45,55,9330,31,9,69,58,1.7,2.9,11,42,36,0.4,0.5,10,10,3,5,27,38,26,43.5,38,22,27,14,43,52,8,35,5,0,11380,,1986,82,18,22,78,2000,2002,83,3,7,8,10,72,1020,649200,26,4950,48,52,5318,15,68,37030,62200,45430,25,8,8490,54,18,21,1,6,8390,26,20,6,30,7,27,2,9,
2014,Sunset/Parkside,79790,52,48,27270,68,26,32,22,2.9,3.5,1,57,35,0.1,0.3,7,7,4,11,24,36,24,42.2,31,25,30,15,43,45,3,45,6,0,28710,,1944,95,5,59,41,1989,2001,89,74,17,4,3,2,1740,747680,28,43240,66,34,3272,8,18,81690,95400,37570,10,7,41870,45,19,24,5,7,41140,62,51,12,27,2,3,1,5,
2014,Tenderloin,27640,40,60,16090,25,9,75,64,1.6,2.9,10,35,39,1,0.1,15,20,3,4,31,39,23,42.9,44,26,21,8,47,46,16,30,6,3,18750,,1899,86,14,3,97,2001,2002,79,2,1,2,8,87,880,378460,34,2900,8,92,13516,45,85,20750,32090,22820,31,10,12850,32,35,25,3,5,12590,10,8,2,48,4,31,1,6,
2015,All,840770,49,51,353290,46,19,54,38,2.3,3.3,6,34,49,0.3,0.4,11,15,5,9,30,36,20,35,26,20,33,21,35,56,11,26,6,1,383680,,1958,92,8,36,64,1985,1994,86,32,21,10,10,26,1180,500000,26,376460,54,46,105987,10,42,81950,96730,52220,13,7,478370,53,17,21,4,5,468350,43,36,7,33,4,10,2,7,27.9
2015,Bayview Hunters Point,37250,51,49,11180,72,40,28,22,3.3,4.1,28,36,17,0.4,3,17,22,7,19,25,34,16,34.8,50,26,17,7,38,45,18,34,2,1,12020,,1963,93,7,50,50,1985,1992,91,61,14,9,4,11,990,507180,29,16560,66,34,2236,7,33,52430,54140,22640,22,12,16940,27,25,25,9,13,16430,65,53,12,26,2,2,2,3,11.3
2015,Castro/Upper Market,20380,37,63,11020,26,9,74,46,1.8,2.7,3,11,79,0.5,0,6,10,3,5,27,48,18,42.5,8,16,38,38,19,81,6,5,7,1,12160,,1956,91,9,41,59,1987,1992,87,22,44,17,8,10,1410,877520,24,11190,54,46,2975,12,37,120650,150840,87220,7,4,14380,73,8,16,2,1,13990,35,32,3,40,4,7,3,11,37.1
2015,Financial District/South Beach,16740,47,53,9780,33,10,67,54,1.7,2.5,2,35,56,0.2,0,7,12,4,4,34,40,18,38.2,13,16,39,32,43,58,6,21,11,4,12050,,1989,81,19,32,68,1991,1997,73,2,1,1,1,94,1140,654360,26,7330,47,53,3716,11,51,117250,167120,105000,12,6,10390,69,10,15,2,4,10130,29,26,4,21,2,41,2,5,23.3
2015,Golden Gate Park,80,42,58,70,0,0,100,80,1.2,,0,0,94,0,0,6,0,0,0,64,36,0,33.1,0,10,78,12,6,100,0,0,0,0,70,,1955,100,0,0,100,,1999,83,0,31,6,37,26,1720,,19,50,0,100,18,0,26,131670,,112780,0,0,70,81,7,7,5,0,70,26,26,0,54,0,20,0,0,0.1
2015,Haight Ashbury,17460,46,54,8290,34,13,66,38,2.1,2.8,3,8,81,0.3,0,7,8,4,5,39,40,12,35.9,7,14,46,33,14,83,5,4,7,1,9020,,1953,92,8,29,71,1988,1995,83,15,42,26,11,7,1740,871540,24,8210,45,55,2570,10,40,119110,159180,78050,9,5,13030,72,8,15,2,3,12930,35,30,5,38,7,7,4,9,49.8
2015,Inner Sunset,28970,52,48,12140,49,19,51,31,2.3,3,2,31,59,0.2,0,9,8,5,8,33,35,20,37.2,12,16,40,32,28,66,5,19,9,1,12720,,1952,95,5,42,58,1982,1995,86,42,30,11,9,8,1240,895710,25,15540,54,46,2064,8,23,101770,130850,60210,9,4,17220,68,10,18,2,3,16800,44,37,7,34,3,8,3,8,31.8
2015,Mission,57880,44,56,23790,38,18,62,37,2.4,3.4,3,13,59,0.7,0,24,39,4,8,35,38,14,35.9,30,18,34,18,34,55,33,8,4,1,25480,,1965,93,7,24,76,1989,1992,86,14,34,19,11,22,910,765400,26,20100,36,64,9278,15,47,77530,69660,49950,16,7,36050,52,21,15,5,6,35500,29,25,3,41,10,10,3,7,48
2015,North Beach,12550,46,54,6480,36,11,64,46,1.9,2.8,1,38,52,0,0,9,9,3,5,36,32,24,39,23,19,32,25,41,52,5,32,10,0,7210,,1964,90,10,21,79,1986,1986,82,5,31,18,11,34,1320,798520,26,4410,32,68,2916,18,52,74780,83810,58990,15,7,7550,53,19,20,3,6,7430,30,27,3,24,3,33,2,8,39.3
2015,South of Market,18100,44,56,9850,29,8,71,58,1.7,2.7,12,39,38,0.4,0,10,11,2,5,28,41,24,42.8,35,22,27,15,41,54,9,32,5,0,11880,,1989,83,17,20,80,1991,1994,81,3,7,7,10,73,1030,674860,26,4970,44,56,5812,17,69,39750,68140,50610,26,6,9170,58,19,16,2,5,9060,25,20,5,31,6,27,2,9,32
2015,Sunset/Parkside,80530,52,48,27730,67,26,33,22,2.9,3.5,1,58,34,0.1,0,7,6,4,11,24,36,25,42.7,29,30,30,16,43,45,3,46,6,1,29030,,1940,96,4,59,41,1979,1992,90,74,17,4,3,2,1460,777990,26,43750,66,34,3328,9,18,84660,98410,39360,10,6,42290,48,18,22,5,6,41480,61,49,12,27,2,3,2,5,29.8
2015,Tenderloin,28820,39,61,16940,23,9,77,65,1.6,2.9,10,31,42,0.8,0,16,23,3,5,30,40,21,41.9,43,25,22,10,45,48,17,26,5,4,19060,,1969,89,11,3,97,1993,1994,82,2,1,2,8,87,790,378190,31,2700,9,91,14060,39,84,21860,32070,24970,31,8,13910,34,34,22,3,6,13670,11,9,2,46,4,33,1,4,114.6
2016,All,841820,49,51,352490,47,19,53,37,2.3,3.3,5,34,48,0.3,0.4,12,15,5,9,30,36,20,35,25,20,33,22,35,56,11,26,6,1,382220,,1958,92,8,37,63,1995,2005,87,32,21,10,10,26,1190,774917,26,380290,54,46,105747,11,42,88643,104002,55567,12,6,483060,55,17,20,4,5,473730,42,35,7,34,4,10,3,7,28.1
2016,Bayview Hunters Point,37600,51,49,11310,72,38,28,21,3.3,4,28,36,14,0.3,2,19,22,7,18,25,33,17,35,49,26,18,7,39,45,18,35,2,1,12040,,1962,94,6,52,48,1985,1993,93,63,14,8,4,10,1083,566355,29,16810,68,32,2149,7,33,55750,58239,24817,19,12,17480,28,26,24,10,12,17150,63,51,12,27,1,2,2,4,11.4
2016,Castro/Upper Market,21090,37,63,11160,29,10,71,43,1.9,2.7,3,12,78,0.4,0.4,7,8,4,5,29,46,17,41.4,8,17,37,38,19,80,5,5,8,2,12200,,1956,92,8,41,59,1988,1994,85,22,43,17,7,11,1216,907208,23,11220,55,45,3125,11,40,127273,170051,94317,7,4,14640,75,7,15,2,1,14290,33,29,4,40,5,7,3,11,38.4
2016,Financial District/South Beach,17460,47,53,10030,33,11,67,54,1.7,2.6,2,36,54,0.2,0.2,8,9,4,5,33,41,17,38.3,12,15,40,33,40,61,4,19,12,4,12510,,1989,80,20,33,67,1992,1998,75,2,1,1,1,95,1114,681493,25,7620,45,55,3611,13,47,136864,189576,114083,9,5,11240,72,7,16,1,3,10890,28,25,3,22,1,41,2,6,24.3
2016,Golden Gate Park,90,35,65,80,0,0,95,79,1.2,,0,0,94,0,0,6,0,0,0,53,47,0,34.4,0,9,81,10,6,100,0,0,0,0,80,,1976,100,0,0,100,,1997,85,0,45,5,28,22,1571,,18,80,0,100,18,0,22,119444,,108439,0,0,90,67,6,5,22,0,90,38,38,0,46,0,16,0,0,0.1
2016,Haight Ashbury,18050,47,53,8360,38,14,62,35,2.1,2.8,3,9,80,0.3,0.1,8,8,4,6,38,40,13,35.9,7,14,46,32,15,84,5,3,7,1,9030,,1954,93,7,30,70,1988,1996,84,16,40,27,11,6,1722,908163,23,8000,46,54,2759,12,41,130616,173670,81392,9,4,13200,70,8,17,2,2,13140,33,28,4,39,7,8,5,9,50.7
2016,Inner Sunset,29120,52,48,12240,50,19,50,31,2.3,3,2,33,56,0.2,0.1,9,9,5,8,32,35,20,37.7,13,14,40,33,29,65,5,22,8,1,12890,,1952,95,5,43,57,1983,1997,87,43,28,12,9,8,1550,910805,25,15830,55,45,2081,9,24,108966,140957,63133,9,4,17420,72,9,15,1,3,17060,45,38,7,35,3,7,2,7,32
2016,Mission,58640,44,56,24340,38,17,62,37,2.3,3.4,3,14,57,1,0.2,25,39,5,8,35,38,14,36.1,29,18,34,20,34,55,32,8,4,1,25860,,1966,94,6,24,76,1989,1994,87,14,34,18,12,22,762,797306,25,20330,34,66,9493,17,46,83234,67713,53196,14,6,37230,53,21,16,4,5,36620,28,24,4,41,11,10,3,6,48.6
2016,North Beach,12600,47,53,6370,39,13,62,45,2,2.9,2,40,51,0,0,8,9,3,6,33,33,24,40.5,25,17,32,25,40,52,5,35,8,0,7250,,1963,88,12,20,80,1987,1995,85,6,29,20,12,34,1367,806903,26,4220,33,67,2930,18,53,78281,81589,60254,16,7,7290,53,18,21,2,5,7230,30,27,3,22,3,36,2,7,39.4
2016,South of Market,19180,44,56,10270,32,9,68,56,1.7,2.8,11,39,38,0.1,0.2,11,12,2,5,30,40,22,41.8,34,22,27,17,43,51,10,32,6,1,12110,,1989,85,15,18,82,1993,1995,81,4,7,6,8,74,1059,752521,26,5330,41,59,5957,19,67,43466,73333,54202,27,6,9820,59,18,16,2,5,9730,22,18,4,31,6,31,2,8,33.9
2016,Sunset/Parkside,81050,51,49,28140,66,25,34,23,2.9,3.5,1,57,35,0.1,0.2,7,6,4,11,24,36,25,42.7,28,25,32,16,42,46,3,44,6,1,29310,,1939,96,4,60,40,1980,1995,91,73,16,5,3,2,1476,829029,26,44120,67,33,3377,8,17,89402,104699,42430,10,6,43050,49,18,22,5,6,42190,61,49,12,27,2,2,2,5,29.9
2016,Tenderloin,28220,39,61,17120,22,8,78,67,1.6,2.9,10,31,43,1,0.4,15,23,3,5,31,39,22,42.3,41,24,23,11,45,47,18,25,6,4,19210,,1968,89,11,3,97,1992,1995,84,1,1,2,7,88,927,509804,30,2820,9,91,14210,38,84,23513,36218,27946,30,8,13850,36,34,19,4,7,13550,11,9,2,46,5,34,3,2,112.3
2017,All,884363,49,51,,,,,,,,6,38,50,0.5,0.7,15,15,5,9,30,35,21,,,,,,,,,,,,397566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,All,883305,49,51,,,,,,,,6,38,51,0.3,1,16,15,4,9,29,34,22,,,,,,,,,,,,401478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,All,881549,49,51,,,,,,,,6,39,50,0.4,0.8,15,15,4,9,30,35,22,,,,,,,,,,,,406399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
