2000 Block of MISSION ST,20,2,3,2,OTHER OFFENSES,68020,10/27/2006 0:00,Friday,MISCELLANEOUS INVESTIGATION,61146566,1/1/1900 9:25,2006,37.76422056,-122.4196583,MISSION,NONE,53,3,Mission,"-122.41965829999998, 37.76422056",1
HYDE ST / TURK ST,36,2,5,10,OTHER OFFENSES,26170,8/5/2012 0:00,Sunday,PROBATION VIOLATION,120619705,1/1/1900 17:10,2012,37.7825852,-122.4156949,TENDERLOIN,"ARREST, BOOKED",20,3,Tenderloin,"-122.4156949, 37.7825852",1
1300 Block of 48TH AV,35,1,10,7,ASSAULT,4134,12/13/2004 0:00,Monday,BATTERY,41413410,1/1/1900 16:00,2004,37.76124529,-122.5080627,TARAVAL,NONE,39,0,Sunset/Parkside,"-122.5080627, 37.76124529",1
2100 Block of MISSION ST,20,2,3,2,ASSAULT,4013,11/24/2007 0:00,Saturday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,71204819,1/1/1900 20:45,2007,37.76287767,-122.419529,MISSION,"ARREST, BOOKED",53,0,Mission,"-122.419529, 37.76287767",1
1000 Block of LARKIN ST,21,2,6,3,BURGLARY,5011,7/22/2011 0:00,Friday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",110601869,1/1/1900 22:59,2011,37.78727152,-122.4182496,NORTHERN,NONE,50,0,Nob Hill,"-122.4182496, 37.78727152",1
2300 Block of 17TH AV,41,1,10,8,VANDALISM,28165,3/28/2004 0:00,Sunday,"MALICIOUS MISCHIEF, GRAFFITI",40379990,1/1/1900 19:00,2004,37.7440566,-122.4736867,TARAVAL,NONE,44,1,West of Twin Peaks,"-122.4736867, 37.7440566",1
200 Block of URBANO DR,41,1,10,8,MOTOR VEHICLE THEFT,7021,10/11/2003 0:00,Saturday,STOLEN AUTOMOBILE,31198490,1/1/1900 12:30,2003,37.72571348,-122.4680465,TARAVAL,NONE,67,0,West of Twin Peaks,"-122.4680465, 37.72571348",1
0 Block of PINTO AV,16,2,10,8,MOTOR VEHICLE THEFT,7041,10/19/2005 0:00,Wednesday,"VEHICLE, RECOVERED, AUTO",51186215,1/1/1900 19:00,2005,37.72047937,-122.4821819,TARAVAL,NONE,42,0,Lakeshore,"-122.4821819, 37.72047937",1
700 Block of CLEMENT ST,11,1,8,4,BURGLARY,5051,1/20/2008 0:00,Sunday,"BURGLARY OF STORE, FORCIBLE ENTRY",80072314,1/1/1900 19:00,2008,37.78288022,-122.46711,RICHMOND,NONE,5,0,Inner Richmond,"-122.46711, 37.78288022",1
KEARNY ST / WASHINGTON ST,6,2,6,3,NON-CRIMINAL,71000,1/15/2004 0:00,Thursday,LOST PROPERTY,40063795,1/1/1900 8:30,2004,37.7953262,-122.4049603,CENTRAL,NONE,104,3,Chinatown,"-122.40496029999998, 37.79532620000001",1
100 Block of JONES ST,36,2,5,10,OTHER OFFENSES,30190,11/8/2008 0:00,Saturday,VIOLATION OF MUNICIPAL POLICE CODE,81196999,1/1/1900 18:35,2008,37.78253867,-122.4123864,TENDERLOIN,"ARREST, BOOKED",20,3,Tenderloin,"-122.4123864, 37.78253867",1
300 Block of 3RD AV,11,1,8,4,VANDALISM,28160,8/3/2007 0:00,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",70785260,1/1/1900 0:30,2007,37.7821021,-122.4612028,RICHMOND,NONE,5,1,Inner Richmond,"-122.4612028, 37.7821021",1
SUTTER ST / POWELL ST,21,2,6,3,DRUG/NARCOTIC,16430,7/23/2011 0:00,Saturday,SALE OF HALLUCINOGENIC,110588790,1/1/1900 12:54,2011,37.78922421,-122.4085974,CENTRAL,"ARREST, BOOKED",19,1,Nob Hill,"-122.40859740000002, 37.78922421",1
1700 Block of HARRISON ST,20,2,3,2,DRUG/NARCOTIC,16705,2/16/2013 0:00,Saturday,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,130137894,1/1/1900 20:26,2013,37.7690748,-122.4133542,MISSION,"ARREST, BOOKED",53,1,Mission,"-122.4133542, 37.7690748",1
0 Block of HARTFORD ST,5,1,3,5,BURGLARY,5043,10/13/2013 0:00,Sunday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",130880833,1/1/1900 19:00,2013,37.76174846,-122.434052,MISSION,NONE,38,0,Castro/Upper Market,"-122.434052, 37.76174846",1
1800 Block of TURK ST,39,2,7,11,VANDALISM,28150,2/17/2005 0:00,Thursday,"MALICIOUS MISCHIEF, VANDALISM",50189723,1/1/1900 9:00,2005,37.77960118,-122.4395958,PARK,NONE,13,1,Western Addition,"-122.4395958, 37.77960118",1
0 Block of UNITEDNATIONS PZ,36,2,5,10,OTHER OFFENSES,30130,12/17/2006 0:00,Sunday,PEDDLING WITHOUT A LICENSE,61337135,1/1/1900 17:33,2006,37.77994441,-122.4143179,SOUTHERN,"ARREST, BOOKED",21,3,Tenderloin,"-122.4143179, 37.77994441",1
